id,text,hn_link,ai_label,human_label,corrected,notes
21343416,"Ask HN: What does Quantum supremacy mean for the current state of encryption? Google recently claimed they achieved Quantum supremacy and ran computations in 200s what the world&#x27;s fastest supercomputer would take 10,000 years (even though IBM challenged the claims).<p>I&#x27;m curious how well current encryption algorithms can fare against a quantum computer, given the governments has the means to build or get their hands on one.",https://news.ycombinator.com/item?id=21343416,discussion,discussion,0,
24167067,Quantum computing breakthrough – possible solution to tech's biggest hurdle,https://news.ycombinator.com/item?id=24167067,hype,hype,0,
21156012,Quantum Supremacy Circuit Generator Quantum supremacy: QPS now has “supremacy” circuit generator from leaked Google’s paper. Output is in multiple quantum languages and can run on Rigetti and IBM quantum computers and various simulators. See video here: https:&#x2F;&#x2F;youtu.be&#x2F;kNQPSRYIIsk Hands-on at: https:&#x2F;&#x2F;quantum-circuit.com,https://news.ycombinator.com/item?id=21156012,technical,technical,0,
955089,"But it seems that quantum cryptography allows you to do more than what is possible with classical computing:  namely, to detect someone listening in on your communication. What is the relationship between quantum cryptography and quantum computing?",https://news.ycombinator.com/item?id=955089,technical,technical,0,
42509701,"Ask HN: Resources for better understanding quantum computing Can anyone recommend resources to better understand the physics behind how a quantum computer works, or how they will work in theory?<p>I&#x27;ve been digging around trying to find a solid explanation for <i>how</i> they actually work, not just that they leverage superposition to do magic.<p>White papers welcome here, I&#x27;m not opposed to diving down a very technical theoretical physics rabbit hole if that&#x27;s where the information lives today.<p>A few examples of questions I&#x27;m trying to better understand:<p>How does the computer control qubits in superposition to actually compute mathematical equations, for example?<p>How can the processor&#x2F;controller check a qubit&#x27;s value without collapsing superposition?<p>If only 105 qubits allow Google to calculate in 5 minutes what would take a normal CPU 10 septillion years to do, how is it possible that they&#x27;re still years away from even doing anything useful? I get the challenges of error correction, but I haven&#x27;t found any clear description of precisely <i>what</i> Willow computed or whether they did some basic tests and extrapolated with a <i>few</i> assumptions of scalability.",https://news.ycombinator.com/item?id=42509701,discussion,discussion,0,
36553770,Quantum Breakthrough: The First Ever Realization of a Laughlin State,https://news.ycombinator.com/item?id=36553770,hype,hype,0,
45746368,"&gt; Fine, I&#x27;ll add 11 bits to my key length, come back when you&#x27;ve developed a computer with 2000x the phase precision. the really weird thing it&#x27;s what this isn&#x27;t true. we already have quantum error correction schemes that can take a quantum computer with O(1) error and get O(exp(-k)) error with polylog(k) inaccurate qbits (and we have empirical evidence that these schemes work to correct the error of single digit numbers of qbits already). adding 11 bits to the key adds ~12 logical qbits or ~a hundred physical qbits to the side of the QC",https://news.ycombinator.com/item?id=45746368,technical,technical,0,
9983530,"V=[0.75+0.4330127018922193i 0.24999999999999994-0.4330127018922193i , 0.24999999999999994-0.4330127018922193i 0.75+0.4330127018922193i ] qubit_0=&quot;x0&quot; qubit_1=&quot;x1&quot; qubit_2=&quot;x2&quot; qubit_3=&quot;c0&quot; qubit_4=&quot;c1&quot; qubit_5=&quot;d0&quot; qubit_6=&quot;ax&quot; gateproperty(&quot;group_gate10gate11gate12gate13gate14_6068&quot;,reps=10.0) gate0={H:-:-:-:-:-:-} gate1={-:H:-:-:-:-:-} gate2={-:-:H:-:-:-:-} gate3={1:1:1:NOT:-:-:-} gate4={NOT:-:-:-:-:-:-} gate5={-:NOT:-:-:-:-:-} gate6={-:-:NOT:-:-:-:-} gate7={1:1:1:-:NOT:-:-} gate8={-:-:NOT:-:-:-:-} gate9={-:NOT:-:-:-:-:-} group_gate10gate11gate12gate13gate14_6068.gate10={-:-:-:1:-:-:V} group_gate10gate11gate12gate13gate14_6068.gate11={-:-:-:-:1:-:V} group_gate10gate11gate12gate13gate14_6068.gate12={-:-:-:-:-:1:V} group_gate10gate11gate12gate13gate14_6068.gate13={-:-:-:-:-:-:!} group_gate10gate11gate12gate13gate14_6068.gate14_6068={-:-:-:-:-:-:NOT} gate17={-:-:-:!:-:-:-} gate14={-:-:-:-:!:-:-}",https://news.ycombinator.com/item?id=9983530,technical,technical,0,
10342769,"Researchers make quantum computing breakthrough, paving way for world-first chip",https://news.ycombinator.com/item?id=10342769,hype,hype,0,
45984747,"Ask HN: Vitalik says that QC might break ECC before 2028. This is crazy, right? Quantum computers haven&#x27;t even factored a three-digit number yet, right?  I don&#x27;t have handy the equivalent in discrete log solution, but... even if somehow (??!) they gain the 4+ orders of magnitude for Shor&#x27;s space computation, there remain major unsolved boring problems like error correction and cooling, right?<p>Or have there been some galaxy-shaking developments in QC that actually make this somehow plausible?<p>Some recent, relevant, major discussions I brushed-up on before posting this:<p>* Willow announcement: https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=42367649<p>* Majorana 1 announcement: https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=43104071<p>* OpenSSH statement: https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=44863242<p>* The case against Google&#x27;s claims of &quot;quantum supremacy&quot;: https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=42384768<p>edit: I do want to say, I like Vitalik a lot and I think he has a beautiful and friendly brain and heart; the few times I hung with him he has been cool as heck.  This is not an anti-Vitalik post.  More of a &quot;where are we really in QC&quot; post, which I figure some people here can summarize in fairly simple terms.",https://news.ycombinator.com/item?id=45984747,discussion,discussion,0,
